Description,LocID,Location,Status,Address,City,State,Country,Zip,Phone Number,Timezone,Long,Lat
Starbucks,3075-43096,Gravenstein & Redwood,Company Owned,962 Gravenstein Hwy S,Sebastopol,CA,US,954724544,7078295029,GMT-08:00 America/Los_Angeles,-122.82,38.39
Starbucks,9275-88459,Safeway - Sonoma #911,Licensed,477 W Napa,Sonoma,CA,US,954766551,7079960633,GMT-08:00 America/Los_Angeles,-122.47,38.29
Starbucks,3563-76415,El Camino & Mathilda,Company Owned,332 W. El Camino Real,Sunnyvale,CA,US,940871306,408-736-6859,GMT-08:00 America/Los_Angeles,-122.04,37.37
Starbucks,4617-18688,Travis AFB BX,Licensed,"461 Skymaster Circle, Gateway at Donner Pass",Travis AFB,CA,US,945351909,707-437-8342,GMT-08:00 America/Los_Angeles,-121.95,38.27
Starbucks,9528-44265,Mission & Tamarack,Company Owned,"33115 Mission Boulevard, A",Union City,CA,US,94587,510-324-8157,GMT-08:00 America/Los_Angeles,-122.02,37.61
Starbucks,4970-97561,Target Vacaville T-827,Licensed,3000 Harbison Dr,Vacaville,CA,US,956873909,707-452-8053,GMT-08:00 America/Los_Angeles,-121.96,38.36
Starbucks,7332-56809,Leisure Town & Orange - Vacavile,Company Owned,"1110 Leisure Town Road, 10",Vacaville,CA,US,95687,707-4461763,GMT-08:00 America/Los_Angeles,-121.93,38.38
Starbucks,7302-82161,Alamo & Butcher - Vacaville,Company Owned,"970 Alamo Drive, Vacaville Retail Center",Vacaville,CA,US,956875696,707-455-8557,GMT-08:00 America/Los_Angeles,-122,38.34
Starbucks,6357-90716,Safeway - Vallejo #1631,Licensed,"122 Robies Way, Target Center, Vallejo",Vallejo,CA,US,945918039,707-554-4467,GMT-08:00 America/Los_Angeles,-122.21,38.08
Starbucks,3703-39573,I-80 & Admiral Callaghan - Vallejo,Company Owned,966 Admiral Callaghan,Vallejo,CA,US,945913680,707-643-1687,GMT-08:00 America/Los_Angeles,-122.22,38.13
Starbucks,4477-42909,Sonoma & Hwy 37,Company Owned,"4300 Sonoma Blvd, 250, Lincoln & Benicia @ Hwy. 80",Vallejo,CA,US,94589,707-554-4375,GMT-08:00 America/Los_Angeles,-122.26,38.13
Teavana,5937-65956,Teavana - Broadway Plaza,Company Owned,"117 Broadway Lane, Space #1046",Walnut Creek,CA,US,94596,,GMT-08:00 America/Los_Angeles,-122.06,37.9
Starbucks,2333-47142,Lake & Enterprise,Company Owned,4055 Lake Rd,West Sacramento,CA,US,956913415,916-371-5616,GMT-08:00 America/Los_Angeles,-121.58,38.57
Starbucks,6516-41066,Harbor Pointe & Stillwater,Company Owned,"715 Harbor Point Place, 100",West Sacramento,CA,US,956051629,916-371-3524,GMT-08:00 America/Los_Angeles,-121.55,38.59
Starbucks,1117-10581,Windsor Town Green,Company Owned,1001 McCleland Dr,Windsor,CA,US,954929597,707-837-0432,GMT-08:00 America/Los_Angeles,-122.82,38.55
Starbucks,1687-75471,Shiloh & Hembree,Company Owned,"6560 Hembree Lane, 170",Windsor,CA,US,95492,707-836-1745,GMT-08:00 America/Los_Angeles,-122.79,38.53
Starbucks,9683-34602,Main & Pioneer,Company Owned,"401 Pioneer Avenue, Suite A",Woodland,CA,US,95776,5306695821,GMT-08:00 America/Los_Angeles,-121.75,38.68
Starbucks,6846-50671,Ashley & Main,Company Owned,271 W. Main Street,Woodland,CA,US,956956801,530-669-1556,GMT-08:00 America/Los_Angeles,-121.8,38.68
Bart,8513-26845,Antioch,NA,Address not available,Antoich,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-121.7808147,37.99684592
Bart,5634-91791,Pittsburg/Baypoint,NA,Address not available,Pittsburg/Baypoint,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-121.9458324,38.01686417
Bart,1320-31367,Martinez,NA,Address not available,Martinez,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.0246682,38.00625295
Bart,8837-38212,Concord,NA,Address not available,Concord,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.029478,37.97689232
Bart,2014-97599,Pleasant Hill,NA,Address not available,Pleasant Hill,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.0559319,37.93056312
Bart,1592-79027,Walnut Creek,NA,Address not available,Walnut Creek,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.0676273,37.90969446
Bart,5459-74406,Lafayette,NA,Address not available,Lafayette,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.1241552,37.89899521
Bart,8678-67827,Orinda,NA,Address not available,Orinda,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.1798054,37.89310996
Bart,2258-97372,Dublin/Pleasanton,NA,Address not available,Dublin/Pleasanton,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-121.8982808,37.71353203
Bart,6313-58637,West Dublin,NA,Address not available,West Dublin,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-121.9284932,37.70755669
Bart,1658-19626,Castro Valley,NA,Address not available,Castro Valley,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.076122,37.70484047
Bart,6312-30374,Bay Fair,NA,Address not available,Bay Fair,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.1276204,37.70864315
Bart,7659-64259,San Leandro,NA,Address not available,San Leandro,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.1619526,37.73308432
Bart,5467-26501,Hayward,NA,Address not available,Hayward,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.0877949,37.68038998
Bart,8386-82019,South Hayward,NA,Address not available,South Hayward,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.0563459,37.64706322
Bart,4521-16643,Union City,NA,Address not available,Union City,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.0165205,37.59974819
Bart,7238-28832,Fremont,NA,Address not available,Fremont,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-121.9753218,37.56546679
Bart,2560-15893,Warm Spring,NA,Address not available,Warm Spring,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-121.9396162,37.51101945
Bart,1908-77372,Oakland Airport,NA,Address not available,Oakland Airport,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2122145,37.72422533
Bart,5251-18099,Oakland Coliseum,NA,Address not available,Oakland Coliseum,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2005415,37.76766159
Bart,6296-38798,Fruitvale,NA,Address not available,Fruitvale,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2218275,37.78502895
Bart,3382-93559,Lake Merrit,NA,Address not available,Lake Merrit,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2645148,37.80030494
Bart,3917-94869,12th St. Oakland,NA,Address not available,12th St. Oakland,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2720332,37.80668546
Bart,1214-59229,19th St . Oakland,NA,Address not available,19th St . Oakland,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2675778,37.81416537
Bart,3779-94347,West Oakland,NA,Address not available,West Oakland,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2957025,37.80932552
Bart,1272-53833,Mac Arthur,NA,Address not available,Mac Arthur,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2672994,37.83176217
Bart,1288-32001,Rockridge,NA,Address not available,Rockridge,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2508701,37.84869513
Bart,1827-61391,Ashby,NA,Address not available,Ashby,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2698055,37.85639064
Bart,9547-71219,Berkeley,NA,Address not available,Berkeley,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2689702,37.87419718
Bart,5383-52777,North Berkeley,NA,Address not available,North Berkeley,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2848425,37.87881298
Bart,5055-25142,El Cerrito Plaza,NA,Address not available,El Cerrito Plaza,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.2984872,37.90869882
Bart,7193-51610,El Cerrito Del Norte,NA,Address not available,El Cerrito Del Norte,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.3163088,37.92890884
Bart,4357-74132,Richmond,NA,Address not available,Richmond,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.3530658,37.93945098
Bart,2188-34555,Embarcadaro,NA,Address not available,Embarcadaro,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.3978605,37.7995584
Bart,4472-83866,Montgomery,NA,Address not available,Montgomery,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4015296,37.79428707
Bart,8563-96754,Powell,NA,Address not available,Powell,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4075335,37.78848818
Bart,3524-83579,Civic Center,NA,Address not available,Civic Center,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4138709,37.78532495
Bart,9435-75434,16th and Mission,NA,Address not available,16th and Mission,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4195412,37.76950679
Bart,5774-81584,24th and Mission,NA,Address not available,24th and Mission,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4198748,37.75737724
Bart,1320-92855,Glenn Park,NA,Address not available,Glenn Park,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4318825,37.73575007
Bart,3528-41069,Balboa Park,NA,Address not available,Balboa Park,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4468923,37.72783611
Bart,6979-32873,Daly City,NA,Address not available,Daly City,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4685729,37.71147792
Bart,1391-62825,Colma,NA,Address not available,Colma,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4665716,37.68878154
Bart,4799-64400,South San Francisco,NA,Address not available,South San Francisco,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4432232,37.67030262
Bart,5626-60336,San Bruno,NA,Address not available,San Bruno,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.4155386,37.64336794
Bart,1708-82392,Milbrae,NA,Address not available,Milbrae,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.386793,37.60410591
Bart,1611-95238,SF Airport,NA,Address not available,SF Airport,CA,US,0,999-999-9999,GMT-08:00 America/Los_Angeles,-122.3914425,37.61902268
McDonald''s,4404-72502,Shields-Reid Community Center,company,"2301 Macdonald Ave, Richmond, CA 94804, United States",Richmond,CA,US,95050,15102337824,GMT-08:00 America/Los_Angeles,-121.939418,37.956423
